medicaments;QuantiteStock;PrixCession;PrixPublic;DateSortie;Listes;Classes;Formes;;;;;;;
Hypotensil 50mg cp B/30 ;0;0 CFA;40 CFA;;Liste I;Antihypertenseur (IEC);Comprimes Gelules;;;;;;;
Metronidazole sp Q Fl/100ml;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antiparasitaire (Nitro imidazoles);Sirops;;;;;;;
Rovamycine sp FL/150ml;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (macrolides);Sirops;;;;;;;
Transit 3F amp B/20;0;0 CFA;0 CFA;;SANS TABLEAU;Complement alimentaire (confort digestif);Ampoules buvables;;;;;;;
Vitapetine gelules;0;2?768 CFA;3?931 CFA;14/09/2023;;;Comprimes Gelules;;;;;;;
Elgydium kids 2-6ans dentif t/50ml;0;2?013 CFA;3?653 CFA;08/06/2023;SANS TABLEAU;;Dentifrices et brosses;;;;;;;
Salva crayon nitrate d'argent ;0;2?500 CFA;3?845 CFA;;SANS TABLEAU;;;;;;;;;
Yotox lotion anti moustq ad;0;1?643 CFA;2?526 CFA;18/07/2023;SANS TABLEAU;Cicatrisation corneenne ;Collyres;;;;;;;
Nutrigree digest halein cpr b/2;0;5?445 CFA;9?881 CFA;08/05/2019;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Artilex sp 180/1080mg f/60ml;0;1?377 CFA;1?976 CFA;08/04/2023;LISTE I;;Sirops;;;;;;;
Lyrica 25mg gel b/24;0;0 CFA;40 CFA;30/10/2019;ST;;Comprimes Gelules;;;;;;;
Antarene 200mg cpr b/30;0;858 CFA;1?246 CFA;09/09/2021;;;Comprimes Gelules;;;;;;;
Anaca capteur graisse et sucre gel b/60;0;16?770 CFA;30?474 CFA;23/08/2020;ST;;Comprimes Gelules;;;;;;;
Panto denk 40mg cp b/28;0;4?358 CFA;6?157 CFA;09/01/2023;LISTE II;;Comprimes Gelules;;;;;;;
Tercold 500/5MG/2MG/30MG cp B/100;0;0 CFA;0 CFA;01/07/2022;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Avlocardyl 40mg cp B/50 sans sucre;0;0 CFA;40 CFA;;Liste I;Antihypertenseur (Betabloquant);Comprimes Gelules;;;;;;;
"catapressan 0;""15mg /1ml inj amp de 1ml;0;0 CFA;30 CFA;;Liste II;Antihypertenseur (Action centrale);Injectables"";;;;;;"
Dermacide sol Fl/250ml ;0;1?215 CFA;1?708 CFA;23/01/2020;SANS TABLEAU;Antiseptique externe;Solutions externes lotions;;;;;;;
Fercefol sp Fl/150ml;0;1?007 CFA;1?415 CFA;11/09/2023;SANS TABLEAU;Antianemique ;Sirops;;;;;;;
Hyzaar cp B/28;0;4?083 CFA;5?780 CFA;26/01/2023;LISTE I;Antihypertenseur (AA II + DT);Comprimes Gelules;;;;;;;
Metronidazole Ubi 250mg cp plaq/10;0;66 CFA;132 CFA;16/11/2022;LISTE I;Antiinfectieux Antiparasitaire (Nitro imidazoles);Comprimes Gelules;;;;;;;
Roxam 20mg cp B/16 ;0;0 CFA;40 CFA;;Liste I;Antiinflammatoire non steroidien;Comprimes Gelules;;;;;;;
Nidazol 500mg ovule B/10;0;1?197 CFA;1?722 CFA;21/07/2023;LISTE I;;Ovules comprimes gynecologiques;;;;;;;
Diprolene pde ;0;1?131 CFA;1?630 CFA;06/07/2023;LISTE I;;Comprimes Gelules;;;;;;;
Genouil laxiteral bleu/noir t3 velpeau;0;20?494 CFA;31?559 CFA;30/12/2019;;;Divers ;;;;;;;
Neurontin 10mg gelu b/90;0;4?774 CFA;6?712 CFA;15/09/2019;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Velpeau laxiteral ;0;1?108 CFA;1?704 CFA;30/08/2022;SANS TABLEAU;;Divers ;;;;;;;
Atelle canal carpien Flamengo;0;0 CFA;0 CFA;28/08/2023;SANS TABLEAU;;Divers ;;;;;;;
Aximycine 500 mg cp B/16;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Penicillines);Comprimes Gelules;;;;;;;
Catarstat cy ;0;0 CFA;0 CFA;;SANS TABLEAU;Anti opacite cristallinienne;Collyres;;;;;;;
Dermobacter sol mouss derm Fl/300ml;0;2?068 CFA;2?907 CFA;09/09/2023;SANS TABLEAU;Antiseptique externe;Solutions externes lotions;;;;;;;
Oziben sp Fl/30ml;0;647 CFA;909 CFA;25/04/2022;SANS TABLEAU;Antihelminthique Antiparasitaire;Sirops;;;;;;;
Diclo denk 50mg detail;0;282 CFA;426 CFA;27/05/2023;LISTE II;Antalgique Antiinflammatoire non sterodien Antipyr;Comprimes Gelules;;;;;;;
Cetamyl  500mg sec;0;3?071 CFA;4?357 CFA;23/01/2022;ST;;Comprimes Gelules;;;;;;;
Actimove lumbal ceint xl/1;0;12?701 CFA;19?574 CFA;09/02/2020;ST;;Divers ;;;;;;;
Anaca 3 perte de poids gel b/90;0;1?620 CFA;2?980 CFA;27/10/2018;ST;;Sirops;;;;;;;
Azantac 150mg cp B/30;0;0 CFA;30 CFA;05/03/2017;Liste II;Antiulcereux (Anti H2);Comprimes Gelules;;;;;;;
Catex 250mg cp B/10;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Dermocuivre faible pdre T/25g;0;0 CFA;40 CFA;;Liste I;Irritation cutanee;Pommades cremes;;;;;;;
Ferifp cp B/40;0;0 CFA;0 CFA;;SANS TABLEAU;Complement alimentaire;Comprimes Gelules;;;;;;;
Miconal Ecobi pde T/30g;0;0 CFA;0 CFA;;SANS TABLEAU;Antimycosique Antifongique;Pommades cremes;;;;;;;
Ozopral cp B/40;0;0 CFA;30 CFA;;Liste II;Antiulcereux (IPP);Comprimes Gelules;;;;;;;
Roxyl 150mg cp B/10;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (macrolides);Comprimes Gelules;;;;;;;
Xeralto 10 cp;0;40 CFA;40 CFA;30/03/2019;;;;;;;;;;
Special kid nutri plus;0;40 CFA;40 CFA;09/12/2022;;;Sirop;;;;;;;
Biberon en pp nn silic fl/270ml  orange;0;4?751 CFA;7?347 CFA;14/08/2021;ST;;Verres et tetines;;;;;;;
;0;40 CFA;40 CFA;;;;;;;;;;;
Azantac 150mg cp eff B/20;0;0 CFA;30 CFA;;Liste II;Antiulcereux (Anti H2);Comprimes Gelules;;;;;;;
Catex 250mg cp B/20;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Ferox sp Fl/200ml;0;2?368 CFA;3?329 CFA;25/07/2023;SANS TABLEAU;Complement alimentaire;Sirops;;;;;;;
Micozal 200 cp B/10;0;1?004 CFA;1?451 CFA;23/07/2023;Liste I;Antimycosique Antifongique;Comprimes Gelules;;;;;;;
Ozothine e la diprophylline cp B/50;0;0 CFA;0 CFA;;SANS TABLEAU;Antitussif;Comprimes Gelules;;;;;;;
Travasil Pastilles citron B/16;0;0 CFA;0 CFA;;SANS TABLEAU;Antitussif;Pastilles;;;;;;;
Pevagine ovule;0;1?878 CFA;2?690 CFA;19/09/2023;LISTE I;;Ovules comprimes gynecologiques;;;;;;;
Anginib 50 cpr b/28;0;1?549 CFA;2?217 CFA;25/08/2020;LISTE I;;Comprimes Gelules;;;;;;;
Rhinathiol  sp Ad sans sucre fl/200ml;0;1?864 CFA;2?650 CFA;11/03/2022;LISTE II;;Sirops;;;;;;;
Chlorure de potassium;0;40 CFA;40 CFA;23/09/2022;;;Injectables;;;;;;;
Dm huile menth bio fl /60ml;0;2?423 CFA;4?101 CFA;23/08/2020;ST;;Divers ;;;;;;;
;0;40 CFA;40 CFA;;;;;;;;;;;
Azantac 2ml amp inj B/15;0;519 CFA;759 CFA;15/09/2019;LISTE II;Antiulcereux (Anti H2);Injectables;;;;;;;
Catex 500mg cp B/10;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Ozothine suppo Ad B/10;0;0 CFA;0 CFA;;SANS TABLEAU;Antitussif Fludifiant;Suppositoires;;;;;;;
Rulid 100mg cp B/10;0;6?000 CFA;8?476 CFA;06/06/2021;LISTE I;Antiinfectieux Antibacterien (Macrolides);Comprimes Gelules;;;;;;;
Travasil Pastilles menthe B/16;0;0 CFA;0 CFA;;SANS TABLEAU;Antitussif;Pastilles;;;;;;;
Antarene codeine cp;0;2?015 CFA;2?873 CFA;11/08/2018;LISTE I;;Comprimes Gelules;;;;;;;
"Paluther 40mg inj B/72 amp de 0;""5ml;0;0 CFA;30 CFA;03/06/2019;LISTE II;;Injectables"";;;;;;"
Mixa ad lait corps fraicheur fl/400ml;0;2?300 CFA;4?202 CFA;16/05/2023;LISTE II;;Baume Lait;;;;;;;
Viodis collyre;0;500 CFA;703 CFA;09/03/2018;SANS TABLEAU;;Collyres;;;;;;;
Petit ol sav ext doux surg hle oliv  250g;0;1?504 CFA;2?729 CFA;31/01/2021;SANS TABLEAU;Cicatrisation corneenne ;Pains;;;;;;;
Actinac plus cp b/ 20;0;37 CFA;82 CFA;09/09/2023;LISTE II;;Comprimes Gelules;;;;;;;
Dodie biberon plastique col large 270ml;0;3?980 CFA;6?603 CFA;02/12/2020;SANS TABLEAU;;Verres et tetines;;;;;;;
Melolac cereales 200g;0;1?044 CFA;1?539 CFA;26/01/2023;SANS TABLEAU;;Farines et lait;;;;;;;
Dm huile olive bio fl /60ml;0;2?459 CFA;4?162 CFA;23/08/2020;ST;;Divers ;;;;;;;
Bacteryl spray hydroalcoolique fl/500ml;0;949 CFA;1?722 CFA;;SANS TABLEAU;;Spray solutions externes;;;;;;;
Genskin savon exfol aloe karite:150g;0;3?026 CFA;5?491 CFA;04/08/2023;SANS TABLEAU;;Pains;;;;;;;
Azantac 300 mg cp effer B/14;0;0 CFA;30 CFA;;Liste II;Antiulcereux (Anti H2);Comprimes Gelules;;;;;;;
Catex 500mg cp B/20;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Ferrostrane sp Fl/125ml;0;1?832 CFA;2?575 CFA;02/06/2020;SANS TABLEAU;Antianemique ;Sirops;;;;;;;
Ibuprofen 200mg creat plag/10 cp;0;137 CFA;222 CFA;15/01/2023;Liste II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules;;;;;;;
Microdox 100mg cp B/10;0;0 CFA;40 CFA;;LISTE I;Antiinfectieux Antibacterien (Cyclines);Comprimes Gelules;;;;;;;
Ozothine suppo E B/10;0;0 CFA;0 CFA;;SANS TABLEAU;Fludifiant;Suppositoires;;;;;;;
Travasil Pastilles mil B/16;0;0 CFA;0 CFA;;SANS TABLEAU;Antitussif;Pastilles;;;;;;;
Medimox 500mg gel b/20;0;0 CFA;40 CFA;03/11/2019;LISTE I;;Comprimes Gelules;;;;;;;
Vagimilt ovule;0;2?156 CFA;3?071 CFA;01/09/2023;LISTE I;;Ovules comprimes gynecologiques;;;;;;;
Bactox 500mg plaq/10x10 cp;0;500 CFA;743 CFA;05/03/2019;LISTE I;Antiinfectieux Antibacterien (Penicillines);Sirops;;;;;;;
Bactox 500 detail;0;1?365 CFA;1?959 CFA;01/02/2021;LISTE I;;Comprimes Gelules;;;;;;;
Genera lait argan ;0;1?539 CFA;2?366 CFA;16/04/2021;SANS TABLEAU;;Lait;;;;;;;
Bledine fruit et lait;0;2?824 CFA;3?570 CFA;17/12/2022;;;;;;;;;;
Klorane bebe;0;40 CFA;40 CFA;15/02/2020;;;;;;;;;;
Anaca 3 draineur 4en1 250ml;0;14?240 CFA;25?883 CFA;23/08/2020;ST;;Sirops;;;;;;;
Azantac 300 mg cp B/14;0;0 CFA;30 CFA;;Liste II;Antiulcereux (Anti H2);Comprimes Gelules;;;;;;;
Cebemyxine cy Fl/10ml;0;0 CFA;30 CFA;;Liste II;Antiinfectieux Antibacterien;Collyres;;;;;;;
Ferrostrane sp Fl/200ml;0;1?833 CFA;2?577 CFA;03/08/2020;SANS TABLEAU;Antianemique ;Sirops;;;;;;;
Ibuprofen 400mg creat plag/10 cp;0;0 CFA;30 CFA;18/12/2020;LISTE II;Antiinflammatoire non steroidien Antalgique Antipy;Comprimes Gelules;;;;;;;
Microflox 500mg cp B/10;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Quinlone 2 generatio;Comprimes Gelules;;;;;;;
Ozothine suppo Enf B/10;0;0 CFA;0 CFA;;SANS TABLEAU;Antitussif;Suppositoires;;;;;;;
Rythmodan cp B/40;0;0 CFA;40 CFA;;Liste I;Antiarythmique ;Comprimes Gelules;;;;;;;
Travasil Pastilles orange B/16;0;0 CFA;0 CFA;;SANS TABLEAU;Antitussif;Pastilles;;;;;;;
Symaphyl cp;0;78 CFA;139 CFA;02/04/2020;LISTE II;;Comprimes Gelules;;;;;;;
Rc savon class 250g afr;0;2?320 CFA;3?261 CFA;12/03/2019;SANS TABLEAU;;Pains;;;;;;;
;0;0 CFA;0 CFA;30/01/2020;SANS TABLEAU;Antalgique  Antiinflammatoire non sterodien Antipy;Comprimes Gelules;;;;;;;
Ht26 lait multieclair;0;10?677 CFA;19?377 CFA;23/10/2019;SANS TABLEAU;;Lait;;;;;;;
Ht26 lotion anti taches 100ml;0;0 CFA;0 CFA;13/03/2019;SANS TABLEAU;;Lait;;;;;;;
Dislep injectable detail;0;10 CFA;40 CFA;07/01/2023;;;Injectables;;;;;;;
Klorane bb  poudre toil prot 100g;0;3?705 CFA;6?763 CFA;20/10/2022;;;;;;;;;;
Angel secret nuit;0;7?450 CFA;11?498 CFA;27/04/2023;ST;;Divers ;;;;;;;
;0;0 CFA;0 CFA;;;;;;;;;;;
Azantac 300mg cp eff B/14 sans sucre;0;0 CFA;30 CFA;;Liste II;Antiulcereux (Anti H2);Comprimes Gelules;;;;;;;
Cebemyxine pde opht 50% T/5g;0;0 CFA;30 CFA;;Liste II;Antiinfectieux Antibacterien;Pommades ophtalmiques;;;;;;;
Microlax Ad gel rectale B/6 unidose;0;0 CFA;0 CFA;;SANS TABLEAU;Laxatif;Gel rectal;;;;;;;
Ozothine suppo NRS B/10;0;0 CFA;0 CFA;;SANS TABLEAU;Antitussif Fludifiant;Suppositoires;;;;;;;
Rythrolid 150mg  cp B/20;0;5?205 CFA;7?358 CFA;18/05/2017;Liste I;Antiinfectieux Antibacterien (macrolides);Comprimes Gelules;;;;;;;
Neomdexol collyre;0;608 CFA;894 CFA;02/06/2023;LISTE I;;Collyres;;;;;;;
Engerix b ad;0;4?049 CFA;5?732 CFA;20/06/2017;ST;;Vaccins;;;;;;;
Nivea fairness creme;0;5?132 CFA;9?353 CFA;01/04/2017;ST;;Baume Lait;;;;;;;
Depoprovera 150mg fl/1ml b/1;0;1?179 CFA;1?697 CFA;03/04/2020;LISTE I;;Injectables;;;;;;;
Zinnat 750 IMV inj;0;2?094 CFA;2?984 CFA;27/07/2020;LISTE I;Cicatrisation corneenne ;Collyres;;;;;;;
Basiflux sp fl/200ml;0;4?475 CFA;6?331 CFA;19/12/2018;ST;;Sirops;;;;;;;
Septimyl cr reparatrice cu zn mn t/50ml;0;3?500 CFA;5?383 CFA;03/04/2022;SANS TABLEAU;;Solutions externes lotions;;;;;;;
Bledine fruit et lait;0;2?624 CFA;3?320 CFA;02/04/2020;;;cereale;;;;;;;
Petit olivier eau micel demaq f/400ml;0;5?111 CFA;9?315 CFA;02/10/2021;ST;;Divers ;;;;;;;
Azantac 75mg cp eff B/14;0;1?710 CFA;2?434 CFA;26/03/2018;Liste II;Antiulcereux (Anti H2);Comprimes Gelules;;;;;;;
;0;0 CFA;30 CFA;;;;;;;;;;;
Dermosone neo creme T/15g;0;817 CFA;1?188 CFA;20/04/2023;LISTE I;Dermocorticoide antiinflammatoire;Pommades cremes;;;;;;;
"Icaz LP 2;""5mg cp B/30;0;0 CFA;40 CFA;;Liste I;Antihypertenseur (IC);Comprimes Gelules"";;;;;;"
Microlax BB gel rectale B/6 unidose;0;0 CFA;0 CFA;;SANS TABLEAU;Laxatif;Gel rectal;;;;;;;
P Alaxin sp Fl/80ml;0;0 CFA;40 CFA;;Liste I;Antipaludique;Sirops;;;;;;;
Sacolene 2g Ad sachet B/12 ;0;0 CFA;0 CFA;03/07/2018;SANS TABLEAU;Antidiarrheique;Sachets Granules poudres orales;;;;;;;
Novaflox collyre;0;1?113 CFA;1?604 CFA;29/08/2023;LISTE I;;Collyres;;;;;;;
Roxid 4% sp FL/90ml;0;1?099 CFA;1?575 CFA;22/10/2020;LISTE II;;Sirops;;;;;;;
Novomix insuline;0;12?838 CFA;18?080 CFA;10/05/2023;LISTE II;;Injectables;;;;;;;
Labello cerise 4.8g;0;40 CFA;40 CFA;27/11/2020;;;;;;;;;;
Fazol emulsion;0;40 CFA;40 CFA;12/02/2020;;;;;;;;;;
Moxiflox gh 400mg b/10;0;8?061 CFA;11?373 CFA;19/09/2023;ST;;Comprimes Gelules;;;;;;;
;0;10 CFA;40 CFA;;;;;;;;;;;
Pulmicort 0.5MG/2ML aero /20;0;16?358 CFA;23?039 CFA;27/05/2022;LISTE I;;Spray aerosol;;;;;;;
Fervex AD sachet B/8 sans sucre;0;1?870 CFA;2?629 CFA;12/08/2022;SANS TABLEAU;Rhume et etat grippal;Sachets Granules poudres orales;;;;;;;
Icaz LP 5mg cp B/30;0;0 CFA;40 CFA;;LISTE I;Antihypertenseur (IC);Comprimes Gelules;;;;;;;
Micropaque sol 150ml;0;0 CFA;0 CFA;;SANS TABLEAU;Produits de Contraste;Solutions buvables ou rectales;;;;;;;
Sacolene 500mg pediatrique  sachet B/12;0;2?000 CFA;2?812 CFA;11/10/2021;SANS TABLEAU;Antidiarrheique;Sachets Granules poudres orales;;;;;;;
Bronkirex sp E FL/125ml;0;767 CFA;1?078 CFA;16/10/2020;SANS TABLEAU;Antitussif Expectorant;Sirops;;;;;;;
Brosse connert;0;0 CFA;0 CFA;31/07/2020;SANS TABLEAU;;Divers ;;;;;;;
Savon nobacter;0;40 CFA;40 CFA;25/09/2019;;;;;;;;;;
Brosse elgydium clinic ;0;3?918 CFA;7?150 CFA;15/09/2020;ST;;Brosses et succettes;;;;;;;
Sucrofer 100MG/5ML sol pour perf AMP B/5;0;8?823 CFA;12?405 CFA;22/03/2023;SANS TABLEAU;;Injectables;;;;;;;
Amoxicilline BMS 500mg plaq /10;0;0 CFA;40 CFA;;Liste I;Antiinfectieux Antibacterien (Penicillines);Comprimes Gelules;;;;;;;
Cebutid 10mg cp B/15;0;0 CFA;30 CFA;;Liste II;Antiinflammatoire non steroidien;Comprimes Gelules;;;;;;;
Ictyane ducray cr T/150ml;0;0 CFA;0 CFA;19/11/2020;SANS TABLEAU;Hydratant cutane;Pommades cremes;;;;;;;
Microval plaq/28 cp;0;645 CFA;946 CFA;08/10/2021;LISTE I;Contraceptif;Comprimes Gelules;;;;;;;
Painex cp B/10;0;643 CFA;934 CFA;30/03/2023;Liste II;Antalgique Antiinflammatoire non steroidien Antipy;Comprimes Gelules;;;;;;;
Sacolene  A sht B/12;0;0 CFA;0 CFA;;SANS TABLEAU;Antidiarrheique;Sachets Granules poudres orales;;;;;;;
Juvamine vit c 500 eff b/30;0;3?086 CFA;4?378 CFA;09/09/2023;ST;;Comprimes Gelules;;;;;;;
Optiflox collyre;0;1?080 CFA;1?558 CFA;28/08/2023;LISTE I;;Collyres;;;;;;;
Tetraxim;0;1?717 CFA;2?454 CFA;06/07/2020;LISTE I;;Vaccins;;;;;;;
Eau precieuse lot fl/375;0;3?639 CFA;6?644 CFA;23/07/2018;ST;;Solutions externes lotions;;;;;;;
Xalatan;0;12?320 CFA;17?361 CFA;24/08/2023;LISTE I;;Collyres;;;;;;;
Brosse dorco;0;0 CFA;0 CFA;22/02/2022;SANS TABLEAU;;Brosses et succettes;;;;;;;
Novophane shp ds 125ml;0;6?189 CFA;10?268 CFA;25/01/2020;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Manix gelule;0;40 CFA;40 CFA;06/05/2021;;;;;;;;;;
Huile de paraffine 500;0;4?042 CFA;6?256 CFA;15/11/2021;;;;;;;;;;
Teromep sp;0;5?485 CFA;7?751 CFA;14/02/2022;;;Sirops;;;;;;;
Cebutide LP 200mg gelu B/16;0;0 CFA;30 CFA;;Liste II;Antiinflammatoire non steroidien;Comprimes Gelules;;;;;;;
Idarac 200mg cp B/30;0;0 CFA;30 CFA;;Liste II;Antalgique;Comprimes Gelules;;;;;;;
Miflasone 100 pdre pr inhalation Fl/60 doses;0;0 CFA;40 CFA;;Liste I;Antiinflammatoire steroidien;Poudres inhalation;;;;;;;
Paludrine cp B/56;0;0 CFA;30 CFA;;LISTE II;Antalgique Antiinflammatoire non steroidien Antipy;Comprimes Gelules;;;;;;;
Salazopyrine cp B/100;0;0 CFA;40 CFA;;Liste I;Antiinflammatoire intestinal;Comprimes Gelules;;;;;;;
;0;0 CFA;30 CFA;;;;;;;;;;;
Sirofen sp;0;1?262 CFA;1?804 CFA;15/06/2023;LISTE II;;Sirops;;;;;;;
Syntocinon  5UI amp inj 1ml B/10;0;3?347 CFA;4?745 CFA;29/01/2022;II;;Injectables;;;;;;;
Parfum bebe ;0;1?527 CFA;2?357 CFA;19/08/2020;SANS TABLEAU;;Divers ;;;;;;;
Savon Roge Cavailles 150g;0;40 CFA;40 CFA;11/01/2023;;;;;;;;;;
Bledine confort ss gluten  250g;0;3?572 CFA;5?308 CFA;21/02/2023;ST;;;;;;;;;
;0;10 CFA;40 CFA;;;;;;;;;;;
Genskin masque visage curcuma santal/100G;0;0 CFA;0 CFA;31/05/2022;SANS TABLEAU;;Pommades cremes;;;;;;;
Triatec 10mg cp B/30;1;6?014 CFA;8?495 CFA;06/05/2022;Liste I;Antihypertenseur (IC);Comprimes Gelules;;;;;;;
"Triatec 2;""5mg cp B/30;1;7?500 CFA;10?585 CFA;19/07/2022;LISTE I;Antihypertenseur (IC);Comprimes Gelules"";;;;;;"
Genclav 250/31.25 pdre susp buv sach b/12;1;2?211 CFA;3?148 CFA;05/09/2023;LISTE I;;Sachets Granules poudres orales;;;;;;;
Nactalia 2 lait;1;2?436 CFA;3?045 CFA;23/06/2022;SANS TABLEAU;;Farines et lait;;;;;;;
Orostim sp;1;2?899 CFA;4?115 CFA;09/11/2022;I;;Gel buccal ;;;;;;;
Triatec 5mg cp B/30;1;10?774 CFA;15?188 CFA;06/09/2023;LISTE I;Antihypertenseur (IC);Comprimes Gelules;;;;;;;
Tymer collyre;1;3?617 CFA;5?125 CFA;10/11/2022;LISTE I;;Collyres;;;;;;;
Azix 40mg/ml fl/37.5ml;1;3?916 CFA;6?062 CFA;11/09/2023;ST;;Solutions buvables ou rectales;;;;;;;
Azro 500mg b/3;1;0 CFA;40 CFA;15/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Immunoplex N cp B/30;1;0 CFA;40 CFA;22/08/2023;Liste I;Deficit immunitaire;Comprimes Gelules;;;;;;;
Solexim-N 50mg/5ml sp;1;2?325 CFA;3?298 CFA;24/08/2023;LISTE II;;Sirops;;;;;;;
Antiplat 75mg cpr b/30;1;7?320 CFA;10?331 CFA;22/10/2022;;;Comprimes Gelules;;;;;;;
Topicrem crem pied anti callos t/75ml;1;4?002 CFA;7?262 CFA;05/08/2022;SANS TABLEAU;;Pommades cremes;;;;;;;
Nactalia 3 lait;1;2?436 CFA;3?045 CFA;03/02/2022;SANS TABLEAU;;Farines et lait;;;;;;;
Imodium gelu B/20;1;1?713 CFA;2?438 CFA;19/09/2023;LISTE II;Antidiarrheique;Comprimes Gelules;;;;;;;
Lancets U S Diagnostic;1;2?992 CFA;5?430 CFA;01/03/2022;SANS TABLEAU;;Divers ;;;;;;;
Mustel sham doux fl 200ml;1;2?922 CFA;5?302 CFA;04/02/2023;SANS TABLEAU;;Divers ;;;;;;;
Xarelto 2.5mg cp b/28;1;24?790 CFA;34?894 CFA;04/11/2022;LISTE I;;Comprimes Gelules;;;;;;;
Diacol sp Fl/200ml;1;1?540 CFA;2?165 CFA;11/08/2023;SANS TABLEAU;Antitussif toux seche;Sirops;;;;;;;
Kinal codeine cp;1;1?163 CFA;1?675 CFA;08/07/2023;LISTE I;;Comprimes Gelules;;;;;;;
Trifene 20mg susp buv fl200ml;1;1?235 CFA;1?766 CFA;12/08/2023;LISTE II;;Sirops;;;;;;;
Nugel cp b/30;1;3?172 CFA;4?499 CFA;23/03/2023;;;;;;;;;;
Rantudil retard lp 90mg gel b/20;1;6?330 CFA;8?939 CFA;17/11/2022;ST;;Comprimes Gelules;;;;;;;
Topicrem sav surgras douceur pain/150g;1;3?233 CFA;5?867 CFA;15/05/2023;SANS TABLEAU;;Pains;;;;;;;
Ceftriaze IM/IV B/1 amp;1;0 CFA;40 CFA;14/08/2023;Liste I;Antiinfectieux Antibacterien (Cephalosporines 3 ge;Injectables;;;;;;;
Typhim ;1;7?320 CFA;10?331 CFA;24/07/2023;LISTE I;;Vaccins;;;;;;;
Karissen anti chute ;1;2?458 CFA;4?460 CFA;18/07/2023;SANS TABLEAU;;Pommades cremes;;;;;;;
Cardiactiv gtte;1;1?813 CFA;2?589 CFA;17/09/2023;;;Gouttes buvables;;;;;;;
R-Lune 80/480 cp b/6;1;2?178 CFA;3?102 CFA;06/02/2023;LISTE I;;Comprimes Gelules;;;;;;;
Acticarbine cp B/42 sans sucre;1;1?000 CFA;1?406 CFA;21/04/2023;SANS TABLEAU;Absorbant intestinal et Antiflatulant;Comprimes Gelules;;;;;;;
Terbinol creme;1;1?532 CFA;2?193 CFA;30/07/2023;LISTE I;;Pommades cremes;;;;;;;
Intraglobin stick 10ml b/20;1;3?074 CFA;4?322 CFA;02/03/2023;SANS TABLEAU;;Sachets Granules poudres orales;;;;;;;
Lotaridex sirop;1;-21 CFA;0 CFA;21/04/2023;LISTE II;;Comprimes Gelules;;;;;;;
Alcof-c sp fl/100ml;1;0 CFA;0 CFA;20/08/2023;SANS TABLEAU;;Sirops;;;;;;;
Menactra;1;24?106 CFA;33?933 CFA;24/07/2023;LISTE I;;Injectables;;;;;;;
Talc douceur chateau rouge;1;40 CFA;40 CFA;21/10/2019;;;;;;;;;;
Sucofin liquide;1;1?121 CFA;1?724 CFA;31/03/2023;SANS TABLEAU;;;;;;;;;
Oligobs procrea F;1;8?453 CFA;14?024 CFA;21/07/2023;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Saridon cp B/10;1;759 CFA;1?107 CFA;28/08/2023;LISTE I;Antalgique Antipyretique;Comprimes Gelules;;;;;;;
Colosar denk100mg;1;7?277 CFA;10?231 CFA;01/10/2022;SANS TABLEAU;;Comprimes Gelules;;;;;;;
Clotimazol basi 10mg creme t/50;1;1?146 CFA;1?611 CFA;06/02/2023;SANS TABLEAU;;Pommades cremes;;;;;;;
Topicrem bb gel nett 2 EN1 fl/500ml;1;0 CFA;0 CFA;21/08/2023;SANS TABLEAU;;Gel cutane;;;;;;;
Domperidone arrow cp;1;790 CFA;1?140 CFA;12/06/2023;LISTE II;;Comprimes Gelules;;;;;;;
Topicrem gel nettoyant douceur corps et cuir ;1;5?844 CFA;10?605 CFA;26/08/2023;SANS TABLEAU;;Baume Lait;;;;;;;
Avene cleanance comedome con imper fl/30ml;1;6?426 CFA;11?662 CFA;31/01/2023;SANS TABLEAU;;Solutions externes lotions;;;;;;;
Glimepiride denk 2mg b/30;1;2?710 CFA;3?850 CFA;11/08/2023;LISTE I;;Comprimes Gelules;;;;;;;
Savon roge cavailles 250/3;1;3?293 CFA;5?976 CFA;07/09/2023;SANS TABLEAU;;Divers ;;;;;;;
Gensil maux de gorge menthe past b/24;1;1?739 CFA;3?156 CFA;09/09/2023;SANS TABLEAU;;Pastilles;;;;;;;
